ham,مرحبًا، أنا متأخر بسبب الزحام المروري. أراك قريبًا!
ham,مرحبًا، هل لديك أخبار عن خالد؟
ham,شكرًا لمساعدتك، كان ذلك رائعًا!
spam,عرض لا يصدق! جربه بنفسك الآن!
spam,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا.
spam,احصل على استرداد نقدي بقيمة 100 يورو على مشترياتك القادمة!
spam,عاجل: مطلوب تحديث معلومات الأمان الخاصة بك.
spam,لديك رسالة صوتية غير مقروءة، استمع إليها هنا.
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.
spam,هل تحتاج إلى المال بسرعة؟ احصل على 1000 يورو اليوم!
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!
ham,شكرًا لك مرة أخرى على الأمس!
ham,مبروك على الترقية!
spam,لقد ربحت بطاقة هدايا أمازون بقيمة 500 يورو!
spam,احصل على استرداد نقدي بقيمة 100 يورو على مشترياتك القادمة!
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!
spam,اكسب المال من المنزل ببضع نقرات فقط!
spam,قم بتحديث معلوماتك الآن لتجنب حذف حسابك.
spam,قرض سريع بدون فحص، احصل على 5000 يورو خلال 24 ساعة.
ham,أتمنى أن تكون بخير، لم نلتقِ منذ فترة!
spam,سيتم حذف حساب WhatsApp الخاص بك إذا لم تقم بتحديث معلوماتك.
ham,شكرًا لمساعدتك، كان ذلك رائعًا!
ham,لا تنسَ موعدنا مع الطبيب.
spam,تم اختيارك لتجربة منتج مجاني، سجل الآن!
spam,انقر هنا لاكتشاف طريقة مذهلة لفقدان الوزن في 3 أيام.
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.
spam,لا تفوت فرصتك لتصبح ثريًا الآن.
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!
spam,بقيت ساعات قليلة فقط للاستفادة من هذا العرض الرائع!
spam,عرض لا يصدق! جربه بنفسك الآن!
ham,كيف كان يومك؟
spam,لديك طرد في الانتظار، أكد معلوماتك هنا: www.livraison-fake.com
spam,لدينا استثمار رائع لك، اتصل بنا الآن.
