label,text,text_np,text_tokens,text_nostop,text_lem,length,punc%,cap%
ham,Je suis bloqué dans les embouteillages…,je suis bloqué dans les embouteillages…,"['je', 'suis', 'bloqué', 'dans', 'les', 'embouteillages…']","['bloqué', 'embouteillages…']","['bloquer', 'embouteillage', '…']",0.2658227848101266,0.0,0.07174887892376686
ham,Peux-tu acheter du pain en rentrant ?,peuxtu acheter du pain en rentrant ,"['peuxtu', 'acheter', 'du', 'pain', 'en', 'rentrant']","['peuxtu', 'acheter', 'pain', 'rentrant']","['peuxtu', 'acheter', 'pain', 'rentrant']",0.22784810126582278,0.5416666666666666,0.08520179372197312
spam,Vous avez été sélectionné pour un héritage de 1000 €. Contactez-nous immédiatement !,vous avez été sélectionné pour un héritage de 1000 € contacteznous immédiatement ,"['vous', 'avez', 'été', 'sélectionné', 'pour', 'un', 'héritage', 'de', '1000', '€', 'contacteznous', 'immédiatement']","['sélectionné', 'héritage', '1000', '€', 'contacteznous', 'immédiatement']","['sélectionner', 'héritage', '1000', 'euro', 'contacteznou', 'immédiatement']",0.7468354430379747,0.35,0.06726457399103142
ham,Repose-toi bien et prends soin de toi !,reposetoi bien et prends soin de toi ,"['reposetoi', 'bien', 'et', 'prends', 'soin', 'de', 'toi']","['reposetoi', 'bien', 'prends', 'soin']","['reposetoi', 'bien', 'prend', 'soin']",0.24050632911392406,0.5166666666666666,0.08071748878923768
spam,Achetez maintenant et recevez un bonus de 100€ en cashback.,achetez maintenant et recevez un bonus de 100€ en cashback,"['achetez', 'maintenant', 'et', 'recevez', 'un', 'bonus', 'de', '100€', 'en', 'cashback']","['achetez', 'maintenant', 'recevez', 'bonus', '100€', 'cashback']","['acheter', 'maintenant', 'recevoir', 'bonus', '100', 'euro', 'cashback']",0.4683544303797469,0.16666666666666666,0.03139013452914798
ham,"Bonjour, je suis en retard à cause de la circulation. À tout à l'heure !",bonjour je suis en retard à cause de la circulation à tout à lheure ,"['bonjour', 'je', 'suis', 'en', 'retard', 'à', 'cause', 'de', 'la', 'circulation', 'à', 'tout', 'à', 'lheure']","['bonjour', 'retard', 'cause', 'circulation', 'tout', 'lheure']","['bonjour', 'retard', 'cause', 'circulation', 'tout', 'lheur']",0.569620253164557,0.575,0.09417040358744397
ham,On se retrouve devant le cinéma à 20h ?,on se retrouve devant le cinéma à 20h ,"['on', 'se', 'retrouve', 'devant', 'le', 'cinéma', 'à', '20h']","['retrouve', 'devant', 'cinéma', '20h']","['retrouve', 'devant', 'cinéma', '20h']",0.22784810126582278,0.26666666666666666,0.08520179372197312
spam,Protégez vos informations bancaires dès maintenant.,protégez vos informations bancaires dès maintenant,"['protégez', 'vos', 'informations', 'bancaires', 'dès', 'maintenant']","['protégez', 'informations', 'bancaires', 'dès', 'maintenant']","['protéger', 'information', 'bancaire', 'dès', 'maintenant']",0.4177215189873418,0.1833333333333333,0.04035874439461882
ham,Je t’attends devant la gare.,je t’attends devant la gare,"['je', 't', '’', 'attends', 'devant', 'la', 'gare']","['’', 'attends', 'devant', 'gare']","['’', 'attend', 'devant', 'gare']",0.13924050632911394,0.35,0.13004484304932737
spam,Faites fortune depuis chez vous en quelques clics !,faites fortune depuis chez vous en quelques clics ,"['faites', 'fortune', 'depuis', 'chez', 'vous', 'en', 'quelques', 'clics']","['faites', 'fortune', 'depuis', 'chez', 'quelques', 'clics']","['fait', 'fortune', 'depuis', 'chez', 'quelque', 'clic']",0.379746835443038,0.19166666666666665,0.04484304932735426
