ham,Je suis bloqué dans les embouteillages…
ham,Peux-tu acheter du pain en rentrant ?
spam,Vous avez été sélectionné pour un héritage de 1000 €. Contactez-nous immédiatement !
ham,Repose-toi bien et prends soin de toi !
spam,Achetez maintenant et recevez un bonus de 100€ en cashback.
ham,"Bonjour, je suis en retard à cause de la circulation. À tout à l'heure !"
ham,On se retrouve devant le cinéma à 20h ?
spam,Protégez vos informations bancaires dès maintenant.
ham,Je t’attends devant la gare.
spam,Faites fortune depuis chez vous en quelques clics !
spam,"Votre facture téléphonique est en attente de paiement, régularisez ici."
spam,Urgent : Mise à jour de vos informations de sécurité requise.
spam,Trop beau pour être vrai ? Essayez et voyez par vous-même !
spam,"Votre facture téléphonique est en attente de paiement, régularisez ici."
ham,Je suis ravi de te revoir bientôt !
spam,Gagnez 500€ immédiatement en répondant à ce sondage !
ham,"Salut Sophie, ça va ? On se voit ce soir pour le dîner ?"
ham,Tu veux un café ?
spam,Le secret des millionnaires enfin révélé : inscrivez-vous gratuitement.
ham,On se retrouve au café à 15h ?
ham,"Je suis en route, j’arrive dans 10 min."
ham,"On part en week-end, ça va être génial !"
spam,Gagnez des récompenses en répondant à ce court questionnaire !
spam,"Vous avez été sélectionné pour un test produit gratuit, inscrivez-vous !"
ham,J’ai trouvé une super recette à tester.
ham,Dis-moi quand tu es dispo pour un appel.
spam,Découvrez comment doubler votre argent en investissant avec nous.
spam,Téléchargez cette application et recevez un bon d’achat de 50€.
spam,"Offre spéciale : 70% de réduction sur tous nos produits, cliquez ici : www.promo-fake.com"
ham,"Je suis au travail, je te rappelle plus tard."
spam,Cliquez ici pour découvrir une méthode révolutionnaire pour perdre du poids en 3 jours.
ham,J’ai trouvé une super recette à tester.
ham,Tu peux me rappeler quand tu es dispo ?
ham,On se retrouve au café à 15h ?
spam,Urgent : Mise à jour de vos informations de sécurité requise.
spam,"URGENT : Votre carte SIM sera désactivée sous 24h, suivez ce lien : www.operateur-fake.com"
ham,"Je suis au travail, je te rappelle plus tard."
ham,"Le film d’hier était génial, tu devrais le voir !"
ham,J’ai une idée géniale à te proposer.
ham,"Bonjour, je suis en retard à cause de la circulation. À tout à l'heure !"
spam,"Vous avez un colis en attente, confirmez vos informations ici : www.livraison-fake.com"
spam,"Achetez 1 produit, obtenez-en 3 gratuitement !"
spam,"Votre compte PayPal a été compromis, réinitialisez votre mot de passe ici."
spam,Trop beau pour être vrai ? Essayez et voyez par vous-même !
spam,Le secret des millionnaires enfin révélé : inscrivez-vous gratuitement.
spam,Vous avez gagné 50000 € à la loterie ! Réclamez votre prix maintenant : www.fakelink2.com
ham,On se retrouve devant le cinéma à 20h ?
spam,Votre profil LinkedIn a été sélectionné pour une opportunité unique.
ham,J’ai trouvé une super recette à tester.
spam,Découvrez comment obtenir un prêt sans intérêt immédiatement.
